label,pattern,attr,replace
us_state,AL,text,Alabama
us_state,Ala.,lower,Alabama
us_state,Alabama,lower,Alabama
us_state,AK,text,Alaska
us_state,Alas.,lower,Alaska
us_state,Alaska,lower,Alaska
us_state,Alsk.,lower,Alaska
us_territory,American Samoa,lower,American Samoa
us_territory,AS,text,American Samoa
us_territory,ASM,lower,American Samoa
us_state,Ariz.,lower,Arizona
us_state,Arizona,lower,Arizona
us_state,Arizona,text,Arizona
us_state,AR,text,Arkansas
us_state,Ar. T.,lower,Arkansas
us_state,Ark.,lower,Arkansas
us_state_or_county,Arkansas,lower,Arkansas
us_state,C.F.,lower,California
us_state,Cal.,lower,California
us_state,Calif.,lower,California
us_state,California,lower,California
us_state,C.L.,lower,Colorado
us_state,CO,text,Colorado
us_state,Col.,lower,Colorado
us_state,Colo.,lower,Colorado
us_state_or_county,Colorado,lower,Colorado
us_state,Conn.,lower,Connecticut
us_state,Connecticut,lower,Connecticut
us_state,CT,text,Connecticut
us_state,D.L.,lower,Delaware
us_state,Del.,lower,Delaware
us_state_or_county,Delaware,lower,Delaware
us_state,D.C.,lower,District of Columbia
us_state,DC,text,District of Columbia
us_state,District of Columbia,lower,District of Columbia
us_state,Wash. D.C.,lower,District of Columbia
us_state,FL,text,Florida
us_state,Fla.,lower,Florida
us_state,Flor.,lower,Florida
us_state,Florida,lower,Florida
us_state,GA,text,Georgia
us_state,Ga.,lower,Georgia
us_state,Geo.,lower,Georgia
us_state,Georgia,lower,Georgia
us_territory,GU,text,Guam
us_territory,Guam,lower,Guam
us_territory,GUM,lower,Guam
us_state,H.A.,lower,Hawaii
us_state,Haw.,lower,Hawaii
us_state_or_county,Hawaii,lower,Hawaii
us_state,HI,text,Hawaii
us_state,ID,text,Idaho
us_state,Ida.,lower,Idaho
us_state_or_county,Idaho,lower,Idaho
us_state,IL,text,Illinois
us_state,Ill.,text,Illinois
us_state,Illinois,lower,Illinois
us_state,Ills.,lower,Illinois
us_state,IN,text,Indiana
us_state,Ind.,lower,Indiana
us_state_or_county,Indiana,lower,Indiana
us_state,IA,text,Iowa
us_state,Ioa.,lower,Iowa
us_state_or_county,Iowa,lower,Iowa
us_state,K.A.,lower,Kansas
us_state,Kan.,lower,Kansas
us_state,Kans.,lower,Kansas
us_state,Kansas,lower,Kansas
us_state,KS,text,Kansas
us_state,Ken.,lower,Kentucky
us_state,Kent.,lower,Kentucky
us_state,Kentucky,lower,Kentucky
us_state,Ky.,text,Kentucky
us_state,KY,text,Kentucky
us_state,LA,text,Louisiana
us_state,Louisiana,lower,Louisiana
us_state,Maine,lower,Maine
us_state,ME,text,Maine
us_territory,Marshall Islands,lower,Marshall Islands
us_territory,MH,lower,Marshall Islands
us_state,Mar.,lower,Maryland
us_state,Mary.,lower,Maryland
us_state,Maryland,lower,Maryland
us_state,Md.,text,Maryland
us_state,MD,text,Maryland
us_state,MA,text,Massachusetts
us_state,Mass.,lower,Massachusetts
us_state,Massachusetts,lower,Massachusetts
us_state,M.C.,lower,Michigan
us_state,MI,text,Michigan
us_state,Mich.,lower,Michigan
us_state,Michigan,lower,Michigan
us_state,Minn.,lower,Minnesota
us_state,Minnesota,lower,Minnesota
us_state,Mn.,text,Minnesota
us_state,MN,text,Minnesota
us_territory,Minor Outlying Islands,lower,Minor Outlying Islands
us_state,Miss.,lower,Mississippi
us_state_or_county,Mississippi,lower,Mississippi
us_state,MS,text,Mississippi
us_state,Missouri,lower,Missouri
us_state,Mo.,text,Missouri
us_state,MO,text,Missouri
us_state,Mont.,lower,Montana
us_state,Montana,lower,Montana
us_state,MT,text,Montana
us_state,N.Jersey,lower,N.Jersey
us_state,N.B.,lower,Nebraska
us_state,NE,text,Nebraska
us_state,Neb.,lower,Nebraska
us_state,Nebr.,lower,Nebraska
us_state,Nebraska,lower,Nebraska
us_state,Nev.,lower,Nevada
us_state_or_county,Nevada,lower,Nevada
us_state,NV,text,Nevada
us_state,New Hampshire,lower,New Hampshire
us_state,NH,text,New Hampshire
us_state,New Jersey,lower,New Jersey
us_state,N. J.,text,New Jersey
us_state,NJ,text,New Jersey
us_state,N. Mex.,lower,New Mexico
us_state,New M.,lower,New Mexico
us_state,New Mexico,lower,New Mexico
us_state,NM,text,New Mexico
us_state,N. York,lower,New York
us_state_or_county,New York,lower,New York
us_state,N. Y.,text,New York
us_state,NY,text,New York
us_state,N. Car.,lower,North Carolina
us_state,NC,text,North Carolina
us_state,North Carolina,lower,North Carolina
us_state,N. Dak.,lower,North Dakota
us_state,ND,text,North Dakota
us_state,No. Dak.,lower,North Dakota
us_state,North Dakota,lower,North Dakota
us_territory,C.M.,lower,Northern Mariana Islands
us_territory,C.N.M.I.,lower,Northern Mariana Islands
us_territory,M.N.P.,lower,Northern Mariana Islands
us_territory,MP,text,Northern Mariana Islands
us_territory,Northern Mariana Islands,lower,Northern Mariana Islands
us_state,OH,text,Ohio
us_state_or_county,Ohio,lower,Ohio
us_state,OK,text,Oklahoma
us_state,Okla.,lower,Oklahoma
us_state_or_county,Oklahoma,lower,Oklahoma
us_state,OR,text,Oregon
us_state,Ore.,lower,Oregon
us_state,Oreg.,lower,Oregon
us_state,Oregon,lower,Oregon
us_state,PA,text,Pennsylvania
us_state,Penn.,lower,Pennsylvania
us_state,Penna.,lower,Pennsylvania
us_state,Pennsylvania,lower,Pennsylvania
us_territory,PR,text,Puerto Rico
us_territory,PRI,text,Puerto Rico
us_territory,Puerto Rico,lower,Puerto Rico
us_territory,Pur.,text,Puerto Rico
us_state,P.P.,lower,Rhode Island
us_state,R. Isl.,lower,Rhode Island
us_state,Rhode Island,lower,Rhode Island
us_state,RI,text,Rhode Island
us_state,S. Car.,lower,South Carolina
us_state,SC,text,South Carolina
us_state,South Carolina,lower,South Carolina
us_state,S. Dak.,lower,South Dakota
us_state,SD,text,South Dakota
us_state,So. Dak.,lower,South Dakota
us_state,South Dakota,lower,South Dakota
us_state,Tenn.,lower,Tennessee
us_state,Tennessee,lower,Tennessee
us_state,TN,text,Tennessee
us_state,Tex.,lower,Texas
us_state_or_county,Texas,lower,Texas
us_state,TX,text,Texas
us_territory,UM,text,U.S. Minor Outlying Islands
us_territory,U.S.V.I.,lower,U.S. Virgin Islands
us_territory,V.I.,lower,U.S. Virgin Islands
us_territory,V.I.R.,lower,U.S. Virgin Islands
us_territory,Virgin Islands,lower,U.S. Virgin Islands
us_state,UT,text,Utah
us_state_or_county,Utah,lower,Utah
us_state,Vermont,lower,Vermont
us_state,VT,text,Vermont
us_state,VA,text,Virginia
us_state,VI,text,Virginia
us_state,Virg.,lower,Virginia
us_state,Virginia,lower,Virginia
us_state,W.N.,lower,Washington
us_state,WA,text,Washington
us_state,Wash.,lower,Washington
us_state_or_county,Washington,lower,Washington
us_state,W. Va.,lower,West Virginia
us_state,W. Vir.,lower,West Virginia
us_state,W. Virg.,lower,West Virginia
us_state,West Virginia,lower,West Virginia
us_state,WV,text,West Virginia
us_state,W.S.,lower,Wisconsin
us_state,WI,text,Wisconsin
us_state,Wis.,lower,Wisconsin
us_state,Wisc.,lower,Wisconsin
us_state,Wisconsin,lower,Wisconsin
us_state,WY,lower,Wyoming
us_state,Wyo.,lower,Wyoming
us_state_or_county,Wyoming,lower,Wyoming
